,삼성전자,한국전력,현대차,삼성물산,NAVER,SK하이닉스,현대모비스,아모레퍼시픽,삼성생명,POSCO,신한지주,SK텔레콤,LG화학,기아차,KT&G,LG생활건강,SK,KB금융,SK이노베이션,삼성화재,삼성에스디에스,아모레G,LG,LG디스플레이,현대중공업,롯데케미칼,고려아연,하나금융지주,강원랜드,LG전자,KT,삼성SDI,한미사이언스,S-Oil,한국항공우주,우리은행,한국타이어,현대제철,현대글로비스,코웨이,기업은행,롯데쇼핑,한미약품,한온시스템,엔씨소프트,CJ,CJ제일제당,삼성카드,BGF리테일,LG유플러스,한화생명,CJ대한통운,동부화재,GS,효성,오리온,KCC,이마트,현대건설,삼성전기,한화케미칼,에스원,한국가스공사,GS리테일,한샘,현대산업,유한양행,한화테크윈,현대백화점,한전KPS,두산중공업,대림산업,NH투자증권,BNK금융지주,한화,삼성증권,포스코대우,호텔신라,미래에셋증권,미래에셋대우,대우건설,롯데제과,오뚜기,두산,만도,현대위아,한국금융지주,삼성엔지니어링,삼성중공업,금호석유,대한항공,OCI,영풍,GS건설,코오롱인더,녹십자,LG이노텍,현대로템,신세계,LS,롯데칠성,한국타이어월드와이드,한국콜마,제일기획,영진약품,농심,팬오션,현대증권,현대엘리베이,대한전선,GKL,두산인프라코어,현대그린푸드,삼립식품,SK케미칼,쌍용양회,아이에스동서,현대미포조선,하이트진로,금호타이어,DGB금융지주,SK네트웍스,동원시스템즈,현대홈쇼핑,영원무역,코리안리,녹십자홀딩스,JW중외제약,제일약품,쿠쿠전자,코스맥스,넥센타이어,LG상사,대한유화,LS산전,한전기술,현대상선,대우조선해양,LG생명과학,대상,한올바이오파마,부광약품,쌍용차,삼양사,SKC,삼양홀딩스,다우기술,한세실업,LG하우시스,동원산업,한솔케미칼,종근당,한섬,롯데푸드,태광산업,대웅제약,도레이케미칼,일양약품,롯데정밀화학,동아에스티,동아쏘시오홀딩스,풍산,세아베스틸,영원무역홀딩스,한라홀딩스,동국제강,AK홀딩스,휴켐스,동원F&B,S&T모티브,한국단자,삼성메디슨,동부하이텍,동양,일동홀딩스,락앤락,한국콜마홀딩스,대교,코오롱,고려제강,일진머티리얼즈,무학,LF,대웅,후성,한일시멘트,동아타이어,한국쉘석유,에스엘,빙그레,케이씨텍,세방전지,보령제약,대신증권,신도리코,남양유업,광동제약,서흥,신영증권,코스맥스비티아이,풀무원,팜스코,경방,크라운제과,삼진제약,SBS,송원산업,한진중공업,남해화학,종근당홀딩스,넥센,동부제철,현대리바트,한국철강,금호산업,유니드,세아제강,현대시멘트,퍼시스,한솔테크닉스,에이블씨엔씨,대덕전자,한미반도체,삼광글라스,알보젠코리아,한독,SK증권,풍산홀딩스,율촌화학,화신,조선내화,국도화학,일진홀딩스,파미셀,대원강업,벽산,일신방직,한솔홀딩스,일성신약,S&T중공업,환인제약,두산엔진,모토닉,오리엔트바이오,대한제분,하이트진로홀딩스,KPX케미칼,서연,자화전자,한국유리,두산건설,한국카본,이수화학,조광피혁,휴비스,삼화페인트,현대상사,대덕GDS,S&T홀딩스,동화약품,무림P&P,코오롱글로벌,대한제강,KISCO홀딩스,유진투자증권,웅진에너지,유수홀딩스,화승알앤에이,삼영전자,한국주철관,엔케이,노루홀딩스,경인양행,세종공업,태림포장,아세아,진원생명과학,F&F,신성솔라에너지,휴니드,대한제당,성신양회,성창기업지주,미래산업,코리아써키트,삼양식품,세원셀론텍,카프로,아세아제지,이수페타시스,백산,일진전기,TBH글로벌,계양전기,퍼스텍,KC그린홀딩스,디와이,웅진,현대비앤지스틸,동일산업,STX엔진,에넥스,디피씨,한진중공업홀딩스,KTB투자증권,동양물산,조광페인트,일진디스플,금양,인디에프,태경산업,포스코강판,남선알미늄,삼양통상,디아이,광전자,동양철관,대한화섬,한국제지,S&TC,유양디앤유,페이퍼코리아,덕성,한솔홈데코,샘표,동성화학,윌비스,에이엔피,무림페이퍼,아이카이스트랩,대원화성,사조동아원,대영포장,신원,사조대림,대창,삼화콘덴서,방림,휴스틸,신대양제지,대경기계,삼성공조,STX,인지컨트롤스,한솔아트원제지,영보화학,대우부품,수출포장,SJM홀딩스,금호전기,덕양산업,코스모신소재,동국실업,WISCOM,코스모화학,선도전기,전방,성안,이화산업,대양금속,평화홀딩스,콤텍시스템,한성기업,STX중공업,청호컴넷,한국전자홀딩스,한솔로지스틱스,대성합동지주,포스코티엠씨,세하,에쓰씨엔지니어링,하이트론,삼화전자,조흥은행,동아건설,삼환기업,로케트전기,삼성물산,강원산업,서통,제일모직,FnC코오롱,두산테크팩,동부일렉트로닉스,대호,고제,LGEI,동양화학,하나은행,두산건설,넥상스코리아,알앤엘바이오,SK,유니온스틸,고려시멘트,삼양제넥스,롯데미도파,세신,오리온전기,고합,신동방CP,외환은행,대구은행,부산은행,중앙제지,동원증권,극동전선,인천정유,동신제약,센추리,하나은행,한국기술산업,KEP전자,굿모닝신한증권,티이씨앤코,대한알미늄,퍼시픽글라스,다함이텍,삼애인더스,전기초자,한국컴퓨터지주,맥슨텔레콤,고려화학,일진,현대하이스코,코오롱유화,케드콤,케이씨오에너지,LG정보,계몽사,LG석유화학,셀런,GPS,금호케미칼,삼보컴퓨터,신한은행,AP우주통신,LG데이콤,오라바이오틱스,태평양제약,한미은행,에이치비이에너지,한국안전유리,KNC,태림페이퍼,기라정보통신,국민은행,한국합섬,한화화인케미칼,팬택,주택은행,고덴시,KTF,LG카드,현대오토넷,포스코플랜텍,우리금융,국민은행,팬택앤큐리텔,케이피케미칼,STX조선해양,하이트맥주
1994-12-31,57261,26622,24669,,,,11955,,,59491,,34929,,137226,,,,,,14819,,2087,24087,,,19472,18354,,,,,36932,776,9596,,1148277,,16185,,,,,,,,13324,,,,,,110029,636,,20018,28261,62709,,1686944,22933,11865,,,,,,26928,15822,,,,18413,15127,,9758,16395,,12288,,19462,,11451,29530,15644,,,,,22128,9200,18585,76374,89618,10996,,478418,,,35266,11946,141156,1625,,,56404,20833,,9369,,104239,,,819,158709,21934,108357,14457,18979,495774,,,239267,67320,,,2484,6070,20911,2137,,,4550,11684,,121931,,,,,5853,1445,4731,4313241,,,24110,,,,14638,13257,,,48302,469494,,149418,9846,47092,,12644,,3590148,2463,,9822,,,,,,,53852,72799,3646,,,,15746,7694,,,,15597,,40192,5521,22755,2655,19746,,4399,8803,13607,,54848,2543,3555,20933,,,,40476,3713,5292,,3787,,,13105,1840,749959,,,357036,,14299,108122,,58157,,2515,,17029,22955,3295,16854,15345,1841,1598,25790,27631,2879,1598,2489,1374,54360,19593,18297,9368590,,,1874,5497,49335,12305,13456,776,,28507,,,14912,11314,,2142,435415,3630,,6605,224889,70447,,26699,8331,,7220,19084,7488,2739,,1904,,,1914,33829,2203,1445,,778184,13520,12210,5445,,1737,36739,,2744,27201,,,,,3180,60470,5044,3005,6130,202432,,,,,5487,,1354,2173,,3850,30603,,,3369,15028,,,258684,116220,33301,,,23472,2369,,4692,6201,1265,18959,9658,1649191,,730,1714829,519280,144711,1531,5018,50952,405249,,2588,8489,22969,,1433372,,342466,22211,,18335,,227687,1056,,5492210,1422,73625,,33549,207027,2999,,17556,,30388,2164,583,58715,14532,,,,4319,48170,68891,36333,17962,20428,18700,25931,13685,20542,12225,29737,57937,6251542,103869,19657,830593,13837,2737,28088,34473,15655,1456898,54377,404955,384369,15707,63860,1544163,17345,7347,6351,83721,10672,12042,8800,9198,181090,9949,149391,7240,12579,894393,12200,19066,20108,6076,,2764,455375,98000,5130,43239,6322,242968,1871,,243889,,,20957,15704,8312,14580,27251234,77083,27803559,14767,8749,,25100,,,,11757,,,,,,,,,,,,,,,
1995-01-31,57369,25050,22004,,,,11240,,,55154,,36636,,113776,,,,,,15930,,1900,22062,,,22774,17113,,,,,42157,559,8478,,1061066,,16185,,,,,,,,12251,,,,,,91200,552,,19656,30336,58678,,1652162,19883,12186,,,,,,21550,14330,,,,17403,13120,,8310,16926,,10532,,16923,,9936,26465,12967,,,,,19218,8320,17443,69201,70699,9349,,351833,,,33825,9611,127783,1499,,,45572,21129,,8387,,87499,,,711,126062,19675,98107,12593,20054,469908,,,209514,58048,,,2667,4405,14679,2066,,,3555,10040,,100757,,,,,5341,956,2803,3535443,,,23525,,,,13151,10527,,,53399,466024,,128256,9079,47283,,10536,,3111462,1902,,8793,,,,,,,48631,66647,2858,,,,13927,7179,,,,13421,,37921,5300,30279,2401,16195,,3460,5979,12654,,57300,2004,3321,18107,,,,40208,3461,3265,,3768,,,10366,1981,703630,,,301682,,12440,107851,,46041,,2375,,15309,18756,2683,14175,13629,1743,1449,23098,28783,2661,1914,2265,1224,50252,16258,13874,7596154,,,1880,5149,44917,12604,13456,695,,26193,,,12596,9428,,2410,478371,3194,,5301,242528,57711,,21024,7418,,7720,17402,7891,2486,,1847,,,1976,32696,1852,1028,,686931,11592,11382,5354,,1373,39731,,2642,27987,,,,,2612,51537,5215,2692,5174,177369,,,,,4776,,1174,2588,,3932,24943,,,3821,12318,,,264668,115546,24444,,,16974,2215,,4963,5001,1074,15702,8654,1611327,,671,1181040,483643,147493,1251,4540,46483,328702,,2323,7870,20373,,1230108,,281745,18887,,15894,,201691,954,,5246290,1372,70622,,29415,186215,2632,,14026,,25600,1891,432,54801,11393,,,,3981,41409,62980,34196,11764,24483,16800,23626,12271,18063,12013,27439,43121,7468058,94582,19297,769274,11902,2084,22102,34759,16147,1125350,46475,349099,388640,13323,60003,1197652,14526,6619,6351,74815,9038,9291,7900,7030,156149,8667,97561,7699,10027,839069,11600,14829,18412,5356,,2466,406335,92400,4496,41509,6101,228193,1128,,182812,,,22469,12490,7364,12337,22253873,61024,21437761,10356,7479,,21700,,,,10006,,,,,,,,,,,,,,,
1995-02-28,61409,25148,23429,,,,9963,,,57982,,37469,,106828,,,,,,14604,,1464,21529,,,21589,15460,,,,,36813,565,7432,,1143916,,15660,,,,,,,,13088,,,,,,83551,578,,19946,30681,60022,,1465207,17009,10262,,,,,,19056,13673,,,,15539,11808,,7618,15334,,9479,,15101,,9936,24515,12298,,,,,17513,7784,16300,56964,72162,8408,,355556,,,33563,10298,104010,1473,,,41463,18347,,7227,,81413,,,595,112163,17125,87857,11384,15598,484996,,,184719,53841,,,2446,3720,11537,2004,,,3740,9607,,87615,,,,,4959,884,2425,3606152,,,19799,,,,12334,10098,,,47331,590958,,121843,8680,40549,,9799,,2615679,2318,,8235,,,,,,,47559,69467,2992,,,,12393,7778,,,,14677,,33998,4940,28444,2540,15510,,3283,6256,10834,,68560,1829,3181,15103,,,,45234,3082,2662,,3507,,,10459,1944,648614,,,274005,,11010,98908,,53310,,2432,,13761,17636,3172,12836,12581,1539,1381,22034,23766,2339,1612,2113,1066,51769,16212,12660,7005342,,,1885,5135,48967,11280,11999,698,,22953,,,10744,9885,,2128,392459,2931,,4862,218716,52935,,17928,6810,,8220,17982,7776,2693,,2078,,,1635,31388,1698,866,,633700,10345,10037,4719,,1258,38328,,2358,23427,,,,,2324,46727,5353,2208,4823,142474,,,,,5487,,963,2359,,3326,28109,,,3574,12318,,,239812,120360,21378,,,12221,2250,,5620,4321,860,15353,7754,1514564,,591,863861,441642,155286,1251,4170,43354,304387,,2362,7870,17776,,1128306,,267172,17543,,14418,,179281,886,,4645152,1138,65681,,29704,188953,2586,,11736,,23704,1690,392,51557,9688,,,,3861,38452,55250,30908,9909,21117,14800,18632,12045,16056,9964,23114,34762,5947413,94238,17281,847316,10253,1810,27167,30176,16797,1010584,42406,307207,324579,12481,51859,1069812,14562,6613,5834,71252,8067,8251,6900,7089,150185,8667,96545,6378,8386,783746,9800,15253,19381,4597,,2366,406335,93000,3806,33150,6101,183868,1224,,148091,,,22950,11388,7336,12337,20536030,67447,20829266,9876,7235,,20500,,,,9318,,,,,,,,,,,,,,,
1995-03-31,74429,26425,26156,,,,10933,,,60999,,37286,,111170,,,,,,15522,,1464,23768,,,23874,16783,,,,,40851,576,8406,,1123567,,16997,,,,,,,,14240,,,,,,89729,692,,23282,29039,64142,,1626075,20352,12442,,,,,,21043,15267,,,,15616,11573,,8058,15430,,9479,,15885,,10871,23865,12130,,,,,20397,7680,19042,79328,68262,8761,,348110,,,35788,10092,111439,1488,,,42957,20714,,6999,,97771,,,707,113456,22372,91518,12946,16597,513018,,,187199,59950,,,2554,4174,12798,1977,,,2425,10127,,97837,,,,,5619,861,2500,3394025,,,24036,,,,13597,12321,,,52024,717875,,139158,9081,45851,,10484,,2677225,2264,,9608,,,,,,,39334,71774,3234,,,,13473,8397,,,,15706,,36200,5263,23397,2649,14638,,3162,5979,10389,,79911,1892,3181,13767,,,,47914,3136,2785,,3546,,,10802,2160,810767,,,273728,,11582,98637,,48195,,2624,,14363,17860,3295,12151,13439,1687,1598,23975,24753,2218,1587,2238,1098,50821,16443,13614,7258547,,,1912,5568,46316,13117,12232,786,,25452,,,11948,10742,,2043,419795,3335,,4277,257520,54527,,19992,6558,,11743,18446,8018,2869,,2031,,,1853,34875,1319,920,,646374,10770,10831,5027,,1365,40198,,2634,25157,,,,,2525,52396,5044,2234,4586,156162,,,,,6706,,1065,2341,,4489,25710,,,3530,12728,,,204830,134803,27595,,,13870,2102,,4046,4821,848,16632,8170,1577670,,738,959273,435278,162503,1277,4277,47376,358420,,1659,7919,17756,,1204657,,250170,20584,,16688,,199898,804,,5027694,1146,66360,,26628,194470,2797,,12881,,28918,1998,368,52452,10233,,,,4319,41579,54567,30415,11595,21499,15200,21609,13808,17355,9469,27709,30963,5677076,109372,18361,808295,11543,1770,24634,32659,14788,895817,43189,307207,305360,14515,65146,1224565,13915,6520,5464,74815,8794,8399,9800,8221,152205,8911,77744,5976,8794,875951,9600,13728,20883,4757,,2592,431372,103300,3974,38626,5528,180584,1045,,154784,,,23087,12857,7392,11937,23425129,83506,25229156,9589,7067,,22000,,,,8755,,,,,,,,,,,,,,,
1995-04-30,77853,27309,28822,,,,9860,,,62036,,37386,,101616,,,,,,14853,,1358,22169,,,21927,15129,,,,,43939,523,7215,,1146823,,16471,,,,,,,,14031,,,,,,77079,655,,23427,22557,58678,,1478250,22698,10711,,,,,,18705,14172,,,,13286,11493,,8625,13873,,8514,,14663,,9739,22287,11712,,,,,16388,7360,19956,77640,68262,7762,,357418,,,34594,9268,96085,1342,,,50801,17755,,6722,,89402,,,707,91799,22663,74312,11737,15367,441886,,,172322,51507,,,2375,3662,10772,1738,,,2400,9521,,83964,,,,,5905,829,2704,3005127,,,23160,,,,13151,11736,,,43367,604839,,150177,8185,37640,,10062,,2666967,2246,,8321,,,,,,,35043,57419,2973,,,,11142,6688,,,,15159,,29525,4450,18351,2459,13517,,2930,5398,10931,,70285,1766,3181,13767,,,,38867,2523,2600,,3162,,,9650,1784,833932,,,229998,,11916,88340,,37694,,2464,,11869,15509,3003,12036,13248,1595,1154,19155,23931,1895,1583,1871,1082,51516,15054,12921,6414530,,,1497,5016,41162,13032,12116,751,,23139,,,10929,9885,,1994,357314,3008,,4446,234590,49751,,17928,6022,,11525,17576,7488,2473,,2064,,,1771,31388,1333,866,,653979,8786,8278,4537,,1338,38328,,2405,22720,,,,,2577,54629,3626,2189,4665,166766,,,,,5335,,1057,2196,,4374,22737,,,2859,12318,,,158801,113620,25892,,,13288,2109,,3180,4521,895,14888,7270,1426214,,663,1078150,367823,152168,1373,3644,45499,290878,,1261,6738,14381,,1068921,,223453,20514,,15610,,190934,784,,4481206,1054,58028,,21148,175023,2797,,12404,,27496,1731,324,43058,10029,,,,4160,38874,46382,26962,11005,17827,14100,19880,12058,15584,9187,25682,34192,5068818,110059,15337,791572,9607,1588,21411,32277,14572,243879,36695,268108,298954,13884,62146,992436,12748,6090,5213,71252,8903,8176,8700,7421,165441,8728,77236,5407,8225,783746,8050,13304,21029,4797,,2574,350947,88900,3507,34591,5366,197001,909,,131775,,,21117,11847,6611,12658,19755192,80937,21156917,9033,6974,,18200,,,,9443,,,,,,,,,,,,,,,
1995-05-31,71393,27899,27954,,,,9656,,,58737,,37302,,107696,,,,,,14408,,1271,19611,,,19726,15295,,,,,42073,553,7360,,1111939,,15278,,,,,,,,12041,,,,,,82374,744,,21034,21607,51511,,1386947,21291,9877,,,,,,18705,13077,,,,13741,12127,,7791,13629,,9655,,15138,,9739,20337,13804,,,,,15122,7240,19194,72155,72162,8585,,340664,,,29524,10023,101038,1197,,,45945,15565,,6860,,90923,,,665,80809,21497,77241,13298,14061,446197,,,192158,44329,,,2215,3763,11608,1685,,,2675,9521,,89440,,,,,5297,900,2454,3280891,,,20749,,,,13672,11541,,,45146,550304,,145760,7876,34437,,9377,,2666967,2409,,8578,,,,,,,42982,61777,2890,,,,11654,6440,,,,13850,,30626,4201,17892,2637,13019,,2837,5204,11112,,62658,1704,2975,14861,,,,34847,2451,2615,,2783,,,9214,1690,767333,,,225293,,11868,88611,,34732,,2176,,12041,14109,2824,13068,12390,1465,1298,20094,20970,1919,1436,1755,1074,49304,14776,12574,6794338,,,1670,4421,35418,12818,10776,793,,21380,,,10559,10571,,1663,365124,2502,,4339,204605,54129,,17799,6495,,11417,16532,6681,2263,,1736,,,1656,28598,1319,850,,628631,8730,8623,4183,,1480,32719,,2003,20047,,,,,2560,51193,3720,2319,4048,167344,,,,,4049,,1002,1912,,4423,20914,,,2596,11743,,,161102,114583,23251,,,12415,2250,,3097,4321,919,14539,6612,1400971,,659,953647,430187,123457,1277,4445,42996,255757,,1473,6394,14780,,1068921,,234868,19877,,14418,,179281,804,,4289935,1071,57060,,19514,188914,2751,,11927,,26074,1660,314,45071,10165,,,,4080,38663,50248,28113,10583,17291,14300,18728,11085,16056,8833,28926,36662,6319126,98710,14689,792687,10038,1891,18303,31500,13784,195103,35756,279279,286142,13323,54431,992436,12928,6618,6055,71252,8740,10035,8750,6561,156617,8423,91870,5631,8857,832154,8200,11440,19333,4677,,2439,321701,85900,3470,33150,4925,193718,923,,140142,,,19176,11480,6555,12017,18583936,70998,20454807,10356,6983,,19000,,,,9068,,,,,,,,,,,,,,,
1995-06-30,78823,27899,29007,,,,9247,,,61659,,39884,,119855,,,,,,17007,,1196,21103,,,19811,14881,,,,,45812,538,7865,,1087229,,14753,,,,,,,,12434,,,,,,85905,1441,,23065,20310,60380,,1534772,21232,9941,,,,,,19095,12803,,,,13741,10542,,7791,13581,,8865,,14527,,10035,21729,14640,,,,,14911,6800,20794,81016,97321,8350,,342525,,,30158,9955,98958,1325,,,42957,16050,,6768,,100815,,,647,96648,22590,74678,14356,13523,441886,,,179761,51507,,,2285,3696,11094,1658,,,3475,9607,,82869,,,,,5758,948,2101,2899063,,,21702,,,,13672,11697,,,46360,575093,,160416,7907,31767,,9272,,2441590,2463,,8149,,,,,,,40836,64084,2808,,,,11938,6391,,,,13662,,31658,4459,17800,2662,14140,,3069,5121,10751,,63112,1954,3172,13403,,,,36187,2316,2553,,2930,,,8934,1653,799185,,,215882,,12297,98908,,35540,,2323,,12643,15733,3059,12953,12200,1465,1240,21471,20888,1936,1509,1934,1121,50568,14127,13181,6558013,,,1777,4514,40000,13868,11766,769,,23139,,,10003,11942,,1776,382697,2630,,4782,233709,51343,,19089,5928,,11525,15778,6912,2057,,1799,,,1758,34701,1291,899,,600748,9892,10348,4220,,1391,34402,,2366,23427,,,,,2551,48101,4099,2352,3967,150378,,,,,4471,,924,1986,,4210,20722,,,2975,11579,,,147293,120360,25806,,,11251,2369,,3650,4401,867,14771,7685,1552428,,638,1003978,454370,121734,1286,4038,42281,262961,,1526,6778,14780,,950628,,218352,20514,,20435,,171213,804,,4044015,1071,57447,,21148,169467,2494,,12213,,30578,1719,311,46077,9961,,,,4170,38029,57068,25811,9656,16526,13400,16903,11409,15938,9399,29737,37042,5406739,103530,15553,769274,9464,1655,17935,31302,13784,420811,40570,262478,294683,12972,52717,1029442,12479,6468,5612,69471,8084,9440,8600,5819,155514,8545,99086,6148,8162,866731,8300,12203,20943,4757,,2420,321701,89900,3824,32573,5087,195359,963,,131775,,,19581,11663,6332,12497,18427768,73943,19612275,11602,6478,,19500,,,,8442,,,,,,,,,,,,,,,
1995-07-31,90800,27702,26776,,,,9401,,,65808,,36220,,128540,,,,,,17676,,1290,18971,,,17102,15460,,,,,42763,550,7865,,1193336,,15039,,,,,,,,12565,,,,,,85316,1544,,21977,21693,56976,,1555639,22581,9620,,,,,,18004,13693,,,,14491,13871,,8253,14505,,9918,,16631,,9739,23215,14473,,,,,15614,7016,19651,75109,87765,9349,,377895,,,30052,10504,98661,1303,,,44824,16599,,7827,,98152,,,714,112163,20258,81634,16220,13831,461285,,,244226,58684,,,2208,3619,12187,1773,,,5150,10213,,88710,,,,,5818,948,2288,3379884,,,20434,,,,14489,12698,,,44499,544355,,149896,8679,32034,,9746,,2539253,2499,,8578,,,,,,,45771,64084,2863,,,,12620,5945,,,,13480,,31865,4358,20003,2428,15136,,2930,5398,13099,,59025,2067,3181,16229,,,,33841,2568,2956,,2891,,,9868,1643,767333,,,238024,,13250,105683,,51964,,2368,,13331,15845,3662,14902,12581,1441,1102,19718,22204,2097,2039,1835,1169,51200,13571,14048,7047543,,,1670,4663,37616,14506,11417,695,,23601,,2502,10374,12457,,1762,394412,2675,,4507,226653,56517,,18702,7819,,9894,14850,6537,2305,,2058,,,1785,30952,1501,972,,684396,8531,10003,4183,,1382,34589,,2318,22484,,,,,2455,48960,4099,2261,4038,167344,,,1619,,5035,,986,2126,,4669,21585,,,2553,12318,,,168467,111694,23592,,,11639,2011,,3544,4541,955,15353,6266,1459871,,671,1067554,412369,132644,1329,3931,44695,463785,,1540,6561,15958,,1045690,,219810,20372,,26338,,187348,859,,4235286,1204,56672,,20668,172245,2384,,12690,,28444,1737,376,49209,10779,,,,4040,40353,61388,32059,11426,18362,14200,18632,12317,16764,8763,28655,38751,5372947,93737,16561,791572,10396,1629,18418,31500,14572,379367,37011,302420,384369,12271,54860,1059720,14813,7472,6351,68758,9668,10183,10000,6444,161029,9216,104675,6952,10692,961241,8730,15423,18738,7435,,2294,343635,80500,4253,34879,4616,234759,1678,,140979,,,21806,13225,6834,12417,20770281,82450,20501614,12561,8245,,20000,,,,9818,,,,,,,,,,,,,,,
1995-08-31,90800,26720,23677,,,,8481,,,60151,,32598,,132015,,,,,,16970,,1184,17160,,,14731,15212,,,,,41201,523,7396,,1247116,,13607,,,,,,,,11596,,,,,,84139,1525,,20526,19014,50526,,1711202,20411,8851,,,,,,17147,13761,,,,14074,13634,,8187,14749,,10006,,16564,,7870,20894,14222,,,,,14629,7248,18204,67513,89715,10172,,335079,,,28309,10572,88656,1173,,,44824,15501,,8012,,97771,,,714,93501,18145,79803,14709,13293,437575,,,241747,61808,,,2240,3426,11512,1614,,,4950,11165,,84329,,,,,4689,940,1660,3132403,,,19390,,,,13969,12609,,,40454,493787,,144637,8772,29899,,9799,,2546766,2354,,7935,,,,,,,40765,64084,2821,,,,11824,5202,,,,12715,,30075,4450,16608,2151,11897,,2744,5259,13551,,64474,2029,3172,15955,,,,31496,2253,2770,,2935,,,9806,2019,764437,,,238024,,13584,94573,,48733,,2285,,11955,16237,3050,15017,12772,1139,1009,19092,20724,2057,1749,1701,1129,48039,14127,14221,6971581,,,1562,4002,37989,13511,10019,639,,22491,,2149,9633,11085,,1684,417842,2373,,4094,200196,63681,,17283,7945,,8655,12007,6336,2193,,1900,,,1608,27900,1193,866,,681861,8219,9313,3993,,1258,32158,,2169,23494,,,,,2307,46727,3909,1960,3238,156741,,,1571,,5284,,908,1935,,3899,19954,,,2480,11579,,,151436,95325,22084,,,10960,1898,,3375,3901,903,13608,5646,1565049,,638,898017,370369,111972,1242,3286,40136,409751,,1433,5902,15819,,898775,,223453,18038,,26792,,168524,736,,4016691,1054,50569,,20668,158354,2173,,11259,,27259,1601,368,55919,9961,,,,4170,42677,68437,35511,9993,17597,14200,16711,11669,17945,7491,27574,39891,4359183,83594,16561,847316,12188,1437,16576,27649,13981,392119,34006,299567,341235,11990,55717,935245,16429,8397,7458,66264,9450,9217,9170,6015,152205,9704,95021,6148,10629,965852,9000,12965,16148,6515,,2141,320239,64900,4813,35456,4410,223385,1582,33878,112114,,,18513,11847,6415,13219,18193517,82122,17271908,12082,8918,,17500,,1059,,10058,,,,,,,,,,,,,,,
1995-09-30,107014,28390,25660,,,,8992,,,61942,,40383,,154596,,,,,,25028,,1296,17906,,,15154,16039,,,,,48266,579,7901,,1286361,,15421,,,,,,,,13088,,,,,,91789,2451,,20889,19619,54826,,1768983,22288,9107,,,,,,18705,16363,,,,15157,13792,,9046,16112,,10532,,17242,,9346,21172,15058,,,,,17091,7680,19728,70467,90203,10408,,340664,,,35122,10847,108962,1238,,,45572,16782,,7919,,93206,,,776,87657,18874,90785,17580,15291,461539,,,303774,66621,,,2433,4135,12219,1676,,,5300,11634,,88710,,,,,5558,940,1660,3287962,,,21030,,,,14117,12834,,,43690,525516,,152526,9636,33155,,10326,,2659455,2391,,8836,,,,,,,39263,68442,2890,,,,13359,6688,,,,14500,,32002,4570,17433,2274,11768,,2920,5896,13099,,69014,2130,3452,18691,,,,37058,2514,2894,,2891,,,10864,2085,793393,,,262934,,13489,92134,,60311,,2400,,12385,18476,3248,15590,13248,1151,1131,18779,22237,2129,1715,1898,1145,47407,15285,14742,7385150,,,1508,4240,35754,14401,11126,622,,23786,,2341,10003,10171,,1903,425652,2822,,4323,187849,60497,,19089,7945,,10764,13457,6912,2169,,1894,,,1601,28772,1361,905,,707209,8928,10072,4619,,1329,31784,,2247,22624,,,,,2446,44150,4280,2091,3238,160018,,,1740,,6605,,932,1982,,4014,22065,,,2775,11825,,,154198,107843,24389,,,13579,2046,,3249,4261,907,15818,6375,1661813,,702,903315,389460,116566,1294,3345,44516,440370,,1619,6443,16777,,907417,,257457,20018,,25998,,173902,750,,4016691,1129,54735,,21437,154465,2210,,11259,,30578,1642,376,71241,10097,,,,4269,46057,70938,34525,10583,20275,15500,17479,12576,17709,7915,31095,40651,4359183,89890,17137,904176,13303,1489,17728,30611,14769,462254,45124,313832,358745,13042,54431,1066448,16357,8966,7901,65908,9668,9366,9500,7030,159926,10559,100610,6608,10755,1175619,9100,12711,16644,5457,,2393,337786,72700,4477,40356,4705,219662,1775,40870,121317,,,19670,12490,6248,13699,19130522,89975,18395284,12561,10011,,18200,,1599,,9991,,,,,,,,,,,,,,,
