"","종목코드","종목명","현재가","대비","등락률","거래량","거래대금","시가","고가","저가","시가총액","시가총액비중...","상장주식수","외국인.보유주식수","외국인.지분율...","총카운트","market"
"1","005930","삼성전자",45850,1800,4.1,12446344,567635309851,45000,45850,44900,294326037495000,19,6419324700,NA,NA,902,"KS"
"2","000660","SK하이닉스",77700,3200,4.3,4124842,318001235108,76100,77800,76000,56565783760500,3.65,728002365,NA,NA,NA,"KS"
"3","068270","셀트리온",291000,-2500,-0.8,719514,210104753000,292500,296500,288500,36490207773000,2.35,125395903,NA,NA,NA,"KS"
"5","207940","삼성바이오로직스",471000,2000,0.4,104817,49445206000,469500,474500,467500,3.1163715e+13,2.01,66165000,NA,NA,NA,"KS"
"6","005380","현대차",129500,1000,0.8,259936,33702697000,129500,131000,129000,27670030216500,1.79,213668187,NA,NA,NA,"KS"
"7","005490","POSCO",294000,1000,0.3,596854,177043095000,293500,298000,293500,25632929490000,1.65,87186835,NA,NA,NA,"KS"
"8","051910","LG화학",352000,2000,0.6,167126,58776768000,348500,356000,348500,24848504736000,1.6,70592343,NA,NA,NA,"KS"
"9","035420","NAVER",730000,7000,1,73168,53349331000,726000,733000,724000,24062755670000,1.55,32962679,NA,NA,NA,"KS"
"10","028260","삼성물산",125500,1500,1.2,445182,56027914000,124000,126500,124000,23806100396500,1.54,189690043,NA,NA,NA,"KS"
"11","017670","SK텔레콤",277000,1000,0.4,169510,47230492000,277000,280500,276000,22366561947000,1.44,80745711,NA,NA,NA,"KS"
"12","012330","현대모비스",226500,5500,2.5,114740,25791475500,220500,226500,220500,22048384969500,1.42,97343863,NA,NA,NA,"KS"
"13","105560","KB금융",51100,-1100,-2.1,1228435,63297004644,52100,52100,51100,21365499540700,1.38,418111537,NA,NA,NA,"KS"
"14","055550","신한지주",42750,-450,-1,2656021,113826593700,43200,43350,42700,20272032344250,1.31,474199587,NA,NA,NA,"KS"
"15","034730","SK",280500,2500,0.9,86977,24336559000,281000,281500,276500,19736063308500,1.27,70360297,NA,NA,NA,"KS"
"16","051900","LG생활건강",1243000,61000,5.2,35288,43141406000,1188000,1245000,1185000,19413418871000,1.25,15618197,NA,NA,NA,"KS"
"17","015760","한국전력",29900,-50,-0.2,1315620,39418004400,30050,30150,29900,19194725902300,1.24,641964077,NA,NA,NA,"KS"
"18","096770","SK이노베이션",203500,2000,1,137555,27854075500,201500,203500,2e+05,18816742274000,1.21,92465564,NA,NA,NA,"KS"
"19","018260","삼성에스디에스",242500,-2000,-0.8,88801,21590075000,246500,247500,241000,18764116500000,1.21,77377800,NA,NA,NA,"KS"
"20","032830","삼성생명",92000,400,0.4,233894,21493843200,91800,92700,91500,1.84e+13,1.19,2e+08,NA,NA,NA,"KS"
"21","006400","삼성SDI",245000,6500,2.7,251884,61678633000,242000,248000,241500,16847309850000,1.09,68764530,NA,NA,NA,"KS"
"22","090430","아모레퍼시픽",268500,9500,3.7,202783,53918271500,262000,268500,260000,15696104565000,1.01,58458490,NA,NA,NA,"KS"
"23","010950","S-Oil",129000,500,0.4,183126,23565138000,128500,129500,126500,14523180168000,0.94,112582792,NA,NA,NA,"KS"
"24","033780","KT&G",103500,1000,1,153301,15817249000,103000,103500,102500,14209773439500,0.92,137292497,NA,NA,NA,"KS"
"25","000270","기아차",34050,-100,-0.3,755918,25674934400,34350,34350,33700,13802621965350,0.89,405363347,NA,NA,NA,"KS"
"26","086790","하나금융지주",43100,-700,-1.6,713208,30848411400,43400,43550,43050,12940432872200,0.84,300242062,NA,NA,NA,"KS"
"27","003550","LG",72200,800,1.1,225968,16310731000,72000,73000,71400,12458624858200,0.8,172557131,NA,NA,NA,"KS"
"28","000810","삼성화재",258500,500,0.2,86161,22312746638,257500,260000,257500,12246395364500,0.79,47374837,NA,NA,NA,"KS"
"29","066570","LG전자",72100,600,0.8,809166,58414338300,72100,72800,71700,11799007389400,0.76,163647814,NA,NA,NA,"KS"
"30","009150","삼성전기",152000,7000,4.8,873332,131329764500,148000,152000,147500,11353441792000,0.73,74693696,NA,NA,NA,"KS"
"31","000030","우리은행",16300,-200,-1.2,668998,10919754300,16450,16500,16200,1.10188e+13,0.71,6.76e+08,NA,NA,NA,"KS"
"32","011170","롯데케미칼",290500,4500,1.6,120057,34822787000,285000,293000,285000,9957009219500,0.64,34275419,NA,NA,NA,"KS"
"33","251270","넷마블",116000,-1000,-0.8,203328,23686286000,117500,118000,115000,9884865876000,0.64,85214361,NA,NA,NA,"KS"
"34","036570","엔씨소프트",432500,-2500,-0.6,78789,34081439000,430500,436000,429000,9488627015000,0.61,21939022,NA,NA,NA,"KS"
"35","035720","카카오",120000,-1000,-0.8,287642,34387073000,120500,121000,118500,9155014680000,0.59,76291789,NA,NA,NA,"KS"
"36","009540","현대중공업",129500,500,0.4,187155,24053469000,129000,129500,127500,8956922667000,0.58,69165426,NA,NA,NA,"KS"
"37","024110","기업은행",14700,0,0,748653,10978899350,14700,14800,14600,8231688580500,0.53,559978815,NA,NA,NA,"KS"
"38","002790","아모레G",95400,2300,2.5,115361,10914264100,93700,95400,93500,7866510372000,0.51,82458180,NA,NA,NA,"KS"
"39","010130","고려아연",416500,3000,0.7,30235,12622471500,414000,422500,413500,7.859355e+12,0.51,18870000,NA,NA,NA,"KS"
"40","000720","현대건설",68600,100,0.2,941366,64250848700,68500,69100,67400,7639005479000,0.49,111355765,NA,NA,NA,"KS"
"41","030200","KT",29150,300,1,793788,23385672952,28950,29500,28950,7611409203200,0.49,261111808,NA,NA,NA,"KS"
"42","032640","LG유플러스",17000,-400,-2.3,3039466,52043418450,17600,17900,16850,7422393137000,0.48,436611361,NA,NA,NA,"KS"
"43","004020","현대제철",54300,0,0,210497,11435510900,54700,55000,53900,7246106125500,0.47,133445785,NA,NA,NA,"KS"
"44","034220","LG디스플레이",20100,-150,-0.7,2225027,45048532150,20400,20650,20000,7192095570000,0.46,357815700,NA,NA,NA,"KS"
"45","021240","코웨이",95000,1400,1.5,150642,14293802558,94300,95900,93400,7010963805000,0.45,73799619,NA,NA,NA,"KS"
"46","018880","한온시스템",12000,100,0.8,815423,9807346900,12000,12300,11850,6.4056e+12,0.41,533800000,NA,NA,NA,"KS"
"47","267250","현대중공업지주",390000,7000,1.8,42500,16544045500,381500,390500,381500,6351780630000,0.41,16286617,NA,NA,NA,"KS"
