"","PER","PBR","PCR","PSR","DY"
"005930",6.94029725985981,1.33778703523778,4.61606470335575,1.1977181884701,0.019
"000660",4.80933761777005,1.51322307388331,3.48376283198099,1.69975377322364,0.0142
"068270",90.7346418803205,14.0921667316068,70.1498566918312,38.1829269486882,NA
"207940",NA,NA,NA,NA,NA
"005380",6.59633239473815,0.355840214901802,6.78199298426983,0.276019565862283,0.0321
"005490",8.71837101358374,0.51249635439491,4.33811762613022,0.401040093330981,0.0287
"028260",37.0604179040325,0.942744723930771,18.0670949215178,0.809838292803716,0.016
"105560",NA,NA,NA,NA,NA
"035420",30.0242282520378,4.37414725476891,24.6869425702128,4.96007823362189,0.0021
"051910",11.7575279555853,1.39987019279498,7.19084450969912,0.890027205696941,0.0185
"017670",8.72741933648742,1.25848871780223,5.88452326132061,1.29506534195205,0.0356
"055550",NA,NA,NA,NA,NA
"096770",9.84517840859397,1.07265858089107,9.50017720209155,0.447727699547566,0.0357
"034730",12.1853262659473,0.446706171781434,2.94940423348869,0.219083118732341,0.0138
"012330",12.9423513808825,0.691310856483531,10.4152488507723,0.577505375946803,0.0168
"032830",NA,NA,NA,NA,NA
"051900",30.659753794297,6.03428035651723,25.2906493908905,2.96647358695479,0.0076
"015760",13.4205934323169,0.238873709861357,1.54928707726735,0.291387675822412,0.0291
"018260",32.246829719027,2.98991044515159,20.4845397700048,1.83892096094288,0.009
"006400",24.7979208916616,1.4230871122948,-65.1627093562575,2.57801721241458,0.0042
"010950",12.328560856799,2.24586430713471,13.4413986775125,0.735592210574686,0.0432
"086790",NA,NA,NA,NA,NA
"033780",11.9148841699605,1.7709957083195,12.164700585139,2.97106234937436,0.0396
"000270",14.3217215572314,0.516113444946614,5.34400835224732,0.258956667558284,0.0234
"000810",NA,NA,NA,NA,NA
"090430",33.3836554568528,3.15015573358241,25.6596961568474,2.56707136305086,0.0057
"003550",5.17837043236362,0.766825780703977,11.7222767563303,1.04777915218181,0.0181
"066570",6.68511466392398,0.786248245977497,5.32574938235701,0.187913129732573,0.0057
"000030",NA,NA,NA,NA,NA
"009150",62.3602285714286,2.32798082881219,14.0499497840323,1.47454104847554,0.0056
"251270",32.335710232408,2.24343337065819,19.899886829559,4.13131104833388,0.0031
"009540",3.95383772194646,0.785462524490786,16.3791376251475,0.628215656870604,NA
"036570",20.7450616190476,3.35210764106698,15.3705849697581,5.20189468016148,0.0175
"035720",83.6917988674033,2.01626721615866,24.4391754692122,4.60828948790752,0.0014
"011170",4.0096695429832,0.734185583404054,2.87545461409396,0.566776748086554,0.04
"024110",NA,NA,NA,NA,NA
"010130",12.66,1.30421409502596,9.99390060240964,1.20713993360317,0.0237
"030200",16.4324611705475,0.599045168394971,2.02010321582381,0.334940512158308,0.0333
"032640",13.684000075201,1.43089716054844,3.28502449817935,0.609792403631285,0.0233
"000720",36.4376821517105,0.867410271571717,14.2874815124417,0.43521270614848,0.0076
"004020",10.0256713210445,0.421436601978222,4.17454543144552,0.374589545705938,0.0139
"018880",23.6751212751213,3.36351284828197,12.0568907711311,1.2232379110944,0.0238
"267250",7.20554131869309,0.665852247695978,8.25321818527607,0.470392169026889,NA
"034220",3.70161016474373,0.44543355505123,0.986556104934804,0.240130074810545,0.0268
"002790",32.519292112537,1.11065552629804,11.1724751263354,1.09276817136886,0.0045
"004990",13.9242945221843,0.871546539560469,-9.54343460818713,2.74735238720539,NA
"021240",19.3042241665133,6.4085386345312,11.3712201963512,2.50123470307533,0.0375
"139480",9.93141092436293,0.697578752593657,6.81222697673124,0.385391313717586,0.008
"035250",13.9090658706581,1.73843460099395,13.1431812243576,3.79346040822686,0.0348
"161390",9.94556971941245,0.934869509515965,6.99587979206293,0.874574824069046,0.0083
"023530",-42.3086951612903,0.432232276764983,3.67737591282738,0.317433320315293,0.0255
"036460",-4.77996116504854,0.70762262296693,2.29714914659435,0.259798541423307,NA
"128940",86.4294589983444,6.58801025176678,-82.9942658744038,5.69532983144229,0.0011
"005830",NA,NA,NA,NA,NA
"078930",5.22896317075644,0.533686945439116,3.94703672330654,0.318126791590324,0.0324
"010140",-15.0619834710744,0.880206985769728,9.44825032401407,0.645851263099276,NA
"008930",168.979776966777,7.64625869918821,-150.928524827893,7.79747246159742,0.0024
