"","Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary.Quote","X"
"1","DDD","3D Systems Corporation","16.61","$1.89B","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/ddd",NA
"2","MMM","3M Company","199.85","$117.23B","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/mmm",NA
"3","WBAI","500.com Limited","7.3","$308.46M","2013","Consumer Services","Services-Misc. Amusement & Recreation","https://www.nasdaq.com/symbol/wbai",NA
"4","WUBA","58.com Inc.","62.27","$9.18B","2013","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/wuba",NA
"5","EGHT","8x8 Inc","17.81","$1.66B","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/eght",NA
"6","AHC","A.H. Belo Corporation","4.67","$101.32M","n/a","Consumer Services","Newspapers/Magazines","https://www.nasdaq.com/symbol/ahc",NA
"7","ATEN","A10 Networks, Inc.","5.97","$434.06M","2014","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/aten",NA
"8","AAC","AAC Holdings, Inc.","6.92","$170.21M","2014","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/aac",NA
"9","AIR","AAR Corp.","43.98","$1.54B","n/a","Capital Goods","Aerospace","https://www.nasdaq.com/symbol/air",NA
"10","AAN","Aaron&#39;s,  Inc.","48.55","$3.52B","n/a","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/aan",NA
"11","ABB","ABB Ltd","20.98","$44.72B","n/a","Consumer Durables","Electrical Products","https://www.nasdaq.com/symbol/abb",NA
"12","ABT","Abbott Laboratories","67.59","$118.57B","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/abt",NA
"13","ABBV","AbbVie Inc.","87.97","$133.21B","2012","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/abbv",NA
"14","ANF","Abercrombie & Fitch Company","16.96","$1.13B","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://www.nasdaq.com/symbol/anf",NA
"15","ABM","ABM Industries Incorporated","31.8","$2.09B","n/a","Finance","Diversified Commercial Services","https://www.nasdaq.com/symbol/abm",NA
"16","AKR","Acadia Realty Trust","27.85","$2.27B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/akr",NA
"17","ACN","Accenture plc","158.28","$101.28B","2001","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/acn",NA
"18","ACCO","Acco Brands Corporation","10.09","$1.05B","n/a","Consumer Durables","Publishing","https://www.nasdaq.com/symbol/acco",NA
"19","ATV","Acorn International, Inc.","27.2325","$72.99M","2007","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/atv",NA
"20","ATU","Actuant Corporation","23.85","$1.45B","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/atu",NA
"21","AYI","Acuity Brands Inc","123.94","$4.98B","n/a","Consumer Durables","Building Products","https://www.nasdaq.com/symbol/ayi",NA
"22","GOLF","Acushnet Holdings Corp.","24.04","$1.8B","2016","Consumer Non-Durables","Recreational Products/Toys","https://www.nasdaq.com/symbol/golf",NA
"23","AGRO","Adecoagro S.A.","8.09","$942.93M","2011","Consumer Non-Durables","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/agro",NA
"24","ADNT","Adient plc","30.19","$2.82B","2016","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/adnt",NA
"25","ADT","ADT Inc.","7.77","$5.96B","2018","Consumer Services","Diversified Commercial Services","https://www.nasdaq.com/symbol/adt",NA
"26","ATGE","Adtalem Global Education Inc.","47.51","$2.82B","n/a","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/atge",NA
"27","AAP","Advance Auto Parts Inc","164.33","$12.17B","n/a","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/aap",NA
"28","ADSW","Advanced Disposal Services, Inc.","26.76","$2.37B","2016","Public Utilities","Environmental Services","https://www.nasdaq.com/symbol/adsw",NA
"29","WMS","Advanced Drainage Systems, Inc.","27.17","$1.55B","2014","Capital Goods","Containers/Packaging","https://www.nasdaq.com/symbol/wms",NA
"30","ASIX","AdvanSix Inc.","29.49","$894.46M","2016","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/asix",NA
"31","ACM","AECOM","31.14","$5.01B","2007","Consumer Services","Military/Government/Technical","https://www.nasdaq.com/symbol/acm",NA
"32","ANW","Aegean Marine Petroleum Network Inc.","1.03","$41.86M","2006","Energy","Oil Refining/Marketing","https://www.nasdaq.com/symbol/anw",NA
"33","AEG","Aegon NV","6.1","$12.47B","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aeg",NA
"34","AER","Aercap Holdings N.V.","52.72","$7.83B","2006","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/aer",NA
"35","HIVE","Aerohive Networks, Inc.","3.97","$219.63M","2014","Technology","EDP Services","https://www.nasdaq.com/symbol/hive",NA
"36","AJRD","Aerojet Rocketdyne Holdings, Inc. ","32.21","$2.44B","n/a","Capital Goods","Military/Government/Technical","https://www.nasdaq.com/symbol/ajrd",NA
"37","AET","Aetna Inc.","200.19","$65.54B","n/a","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/aet",NA
"38","AMG","Affiliated Managers Group, Inc.","123.31","$6.59B","n/a","Finance","Investment Managers","https://www.nasdaq.com/symbol/amg",NA
"39","AFL","Aflac Incorporated","44.47","$34.14B","n/a","Finance","Accident &Health Insurance","https://www.nasdaq.com/symbol/afl",NA
"40","AGCO","AGCO Corporation","54.39","$4.3B","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/agco",NA
"41","A","Agilent Technologies, Inc.","64.47","$20.55B","1999","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/a",NA
"42","AEM","Agnico Eagle Mines Limited","37.02","$8.67B","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/aem",NA
"43","ADC","Agree Realty Corporation","54.04","$1.89B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/adc",NA
"44","AL","Air Lease Corporation","41.69","$4.34B","2011","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/al",NA
"45","APD","Air Products and Chemicals, Inc.","155.4","$34.07B","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/apd",NA
"46","AYR","Aircastle Limited","20.39","$1.59B","2006","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/ayr",NA
"47","AKS","AK Steel Holding Corporation","4.44","$1.4B","n/a","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/aks",NA
"48","ALG","Alamo Group, Inc.","82.28","$964.95M","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/alg",NA
"49","AGI","Alamos Gold Inc.","4.61","$1.8B","2015","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/agi",NA
"50","ALK","Alaska Air Group, Inc.","62.58","$7.71B","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/alk",NA
"51","AIN","Albany International Corporation","68.58","$2.21B","n/a","Basic Industries","Textiles","https://www.nasdaq.com/symbol/ain",NA
"52","ALB","Albemarle Corporation","95.63","$10.37B","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/alb",NA
"53","AA","Alcoa Corporation","38.6","$7.2B","2016","Basic Industries","Aluminum","https://www.nasdaq.com/symbol/aa",NA
"54","ALEX","Alexander & Baldwin, Inc.","20.13","$1.45B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/alex",NA
"55","ALX","Alexander&#39;s, Inc.","330","$1.69B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/alx",NA
"56","ARE","Alexandria Real Estate Equities, Inc.","122.42","$12.95B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/are",NA
"57","AQN","Algonquin Power & Utilities Corp.","10.15","$4.78B","2016","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/aqn",NA
"58","BABA","Alibaba Group Holding Limited","142.93","$367.61B","2014","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/baba",NA
"59","Y","Alleghany Corporation","614.82","$9.18B","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/y",NA
"60","ATI","Allegheny Technologies Incorporated","26.75","$3.36B","n/a","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/ati",NA
"61","ALLE","Allegion plc","81.79","$7.77B","2013","Consumer Services","Diversified Commercial Services","https://www.nasdaq.com/symbol/alle",NA
"62","AGN","Allergan plc.","189.53","$64.33B","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/agn",NA
"63","ALE","Allete, Inc.","76.99","$3.95B","n/a","Public Utilities","Power Generation","https://www.nasdaq.com/symbol/ale",NA
"64","ADS","Alliance Data Systems Corporation","216.18","$11.88B","2001","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ads",NA
"65","AB","AllianceBernstein Holding L.P.","30.26","$2.96B","n/a","Finance","Investment Managers","https://www.nasdaq.com/symbol/ab",NA
"66","LNT","Alliant Energy Corporation","44.05","$10.3B","n/a","Public Utilities","Power Generation","https://www.nasdaq.com/symbol/lnt",NA
"67","NFJ","AllianzGI NFJ Dividend, Interest & Premium Strategy Fund","12.45","$1.18B","2005","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/nfj",NA
"68","ALSN","Allison Transmission Holdings, Inc.","47.59","$6.21B","2012","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/alsn",NA
"69","ALL","Allstate Corporation (The)","97.32","$33.7B","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/all",NA
"70","ALLY","Ally Financial Inc.","25.94","$10.95B","2014","Finance","Major Banks","https://www.nasdaq.com/symbol/ally",NA
