,삼성전자,한국전력,현대차,삼성물산,NAVER
1994-12-31,57261,26622,24669,,
1995-01-31,57369,25050,22004,,
1995-02-28,61409,25148,23429,,
1995-03-31,74429,26425,26156,,
1995-04-30,77853,27309,28822,,
1995-05-31,71393,27899,27954,,
1995-06-30,78823,27899,29007,,
1995-07-31,90800,27702,26776,,
1995-08-31,90800,26720,23677,,
1995-09-30,107014,28390,25660,,
1995-10-31,108960,30944,26466,,
1995-11-30,94043,30060,22561,,
1995-12-31,91449,30256,21756,,
1996-01-31,93785,28975,21756,,
1996-02-29,86108,28088,21756,,
1996-03-31,78105,31045,25413,,
1996-04-30,91990,32425,24467,,
1996-05-31,59880,29764,20999,,
1996-06-30,59446,27398,19296,,
1996-07-31,60748,24836,20053,,
1996-08-31,53285,24540,19675,,
1996-09-30,56235,26906,18287,,
1996-10-31,50421,23949,16206,,
1996-11-30,52330,25624,15450,,
1996-12-31,39486,24245,12612,,
1997-01-31,41887,28318,15732,,
1997-02-28,51581,24642,15472,,
1997-03-31,53271,25834,15212,,
1997-04-30,53893,26431,15277,,
1997-05-31,59868,27325,17878,,
1997-06-30,62995,26331,17293,,
1997-07-31,57991,25834,15667,,
1997-08-31,62995,23152,17683,,
1997-09-30,59421,20171,16643,,
1997-10-31,33866,13613,10337,,
1997-11-30,37797,13414,14302,,
1997-12-31,34312,15600,12157,,
1998-01-31,80788,23000,22377,,
1998-02-28,92589,21600,20840,,
1998-03-31,66265,18000,13326,,
1998-04-30,68887,18200,12224,,
1998-05-31,46824,14500,9552,,
1998-06-30,39563,14650,9285,,
1998-07-31,42356,17500,9485,,
1998-08-31,43004,17400,9084,,
1998-09-30,36395,19300,8518,,
1998-10-31,57466,25000,11918,,
1998-11-30,63787,24000,11708,,
1998-12-31,77292,29800,15003,,
1999-01-31,87956,32350,14092,,
1999-02-28,84336,28900,11848,,
1999-03-31,92946,29600,13776,,
1999-04-30,89424,34200,18025,,
1999-05-31,82900,37300,18161,,
1999-06-30,127000,48100,24926,,
1999-07-31,189000,42900,34143,,
1999-08-31,224000,44000,33235,,
1999-09-30,197000,40000,22838,,
1999-10-31,200000,35100,19160,,
1999-11-30,240000,46000,23500,,
1999-12-31,266000,35200,18000,,
2000-01-31,279000,34700,17100,,
2000-02-29,256000,28300,12050,,
2000-03-31,335000,31500,13400,,
2000-04-30,300000,32500,10450,,
2000-05-31,308000,30300,12100,,
2000-06-30,369000,34600,14300,,
2000-07-31,295000,32200,14950,,
2000-08-31,273500,32600,16800,,
2000-09-30,202000,29100,14500,,
2000-10-31,142500,25400,13000,,
2000-11-30,162000,23000,13000,,
2000-12-31,158000,23600,12100,,
2001-01-31,220000,26100,15350,,
2001-02-28,187000,25700,16000,,
2001-03-31,208000,20200,17200,,
2001-04-30,229000,22750,20600,,
2001-05-31,212000,24300,25250,,
2001-06-30,192000,24200,28300,,
2001-07-31,189500,20700,22050,,
2001-08-31,190000,22650,21300,,
2001-09-30,140000,21000,16800,,
2001-10-31,173500,20400,20800,,
2001-11-30,218000,23000,25400,,
2001-12-31,279000,21700,26900,,
2002-01-31,300500,21800,30250,,
2002-02-28,343000,21950,36400,,
2002-03-31,368000,24750,41900,,
2002-04-30,382000,24500,48000,,
2002-05-31,342000,25200,40250,,
2002-06-30,329000,22000,36150,,
2002-07-31,332500,21400,35350,,
2002-08-31,331000,21050,34000,,
2002-09-30,298500,20600,27900,,
2002-10-31,345000,18450,30950,,12479
2002-11-30,387000,19600,35100,,11760
2002-12-31,314000,18250,27750,,11866
2003-01-31,291500,17650,24700,,13706
2003-02-28,279500,17950,25100,,14906
2003-03-31,284000,17900,24000,,17066
2003-04-30,305000,20450,28700,,29065
2003-05-31,324000,19950,28800,,34665
2003-06-30,355000,18900,31600,,39332
2003-07-31,416000,18850,35200,,51225
2003-08-31,435000,19300,39200,,46931
2003-09-30,392000,21650,33100,,41065
2003-10-31,470000,22850,39450,,40398
2003-11-30,465000,25350,45600,,36425
2003-12-31,451000,21400,50500,,36852
2004-01-31,524000,20200,49700,,36665
2004-02-29,545000,20700,50000,,39065
2004-03-31,572000,20150,52400,,44927
2004-04-30,557000,19200,44750,,55746
2004-05-31,506000,18600,43500,,58837
2004-06-30,477000,18600,44450,,61289
2004-07-31,417000,19650,43400,,51643
2004-08-31,451000,20250,49900,,52495
2004-09-30,458000,21750,53100,,51323
2004-10-31,439500,23150,54300,,46313
2004-11-30,434500,26200,51600,,46899
2004-12-31,450500,26850,55500,,44501
2005-01-31,495000,27800,58200,,45993
2005-02-28,527000,27500,57900,,47965
2005-03-31,502000,26100,55000,,47219
2005-04-30,452000,28900,53900,,49564
2005-05-31,489000,29800,56700,,57558
2005-06-30,494000,31700,57500,,57025
2005-07-31,565000,35700,71100,,67684
2005-08-31,544000,32500,70700,,75465
2005-09-30,588000,35600,81500,,94598
2005-10-31,552000,33950,76600,,92466
2005-11-30,598000,34750,85600,,130039
2005-12-31,659000,37800,97300,,143896
2006-01-31,740000,41500,87200,,151144
2006-02-28,687000,41950,83100,,147733
2006-03-31,630000,40800,81700,,159884
2006-04-30,644000,41900,82900,,178537
2006-05-31,612000,39200,73500,,152849
2006-06-30,603000,35150,80600,,175873
2006-07-31,608000,35800,73100,,169159
2006-08-31,650000,36800,81000,,144629
2006-09-30,664000,36850,81000,,158168
2006-10-31,611000,36400,76600,,148930
2006-11-30,638000,38750,70400,,168044
2006-12-31,613000,42400,67400,,181742
2007-01-31,579000,42400,67100,,197033
2007-02-28,567000,39600,69000,,205475
2007-03-31,563000,37550,66100,,219811
2007-04-30,574000,37950,59300,,234146
2007-05-31,535000,40850,65700,,281931
2007-06-30,566000,41000,73000,,268392
2007-07-31,614000,44200,81200,,270622
2007-08-31,591000,41900,69600,,288302
2007-09-30,575000,42900,73900,,337361
2007-10-31,550000,39600,71000,,455549
2007-11-30,565000,38600,69300,,416047
2007-12-31,556000,39650,71600,,360139
2008-01-31,595000,37800,73400,,318566
2008-02-29,560000,33250,66800,,340069
2008-03-31,623000,30050,78900,,368103
2008-04-30,711000,33750,84600,,371129
2008-05-31,741000,33350,84000,,339432
2008-06-30,625000,30750,71000,,290692
2008-07-31,564000,32350,71500,,267596
2008-08-31,516000,33100,71700,,238925
2008-09-30,539000,30500,73500,,238925
2008-10-31,535000,25900,58800,,214873
2008-11-30,486000,27850,41500,,191993
2008-12-31,451000,29600,39500,,203748
2009-01-31,488000,28250,47500,,219421
2009-02-28,477000,24000,48700,,208450
2009-03-31,568000,25450,55500,,236661
2009-04-30,592000,28000,68500,,243714
2009-05-31,558000,28350,69300,,311891
2009-06-30,592000,29650,74100,,276627
2009-07-31,724000,33300,88100,,279761
2009-08-31,771000,31350,106000,,266440
2009-09-30,815000,35800,111500,,271925
2009-10-31,723000,34000,109500,,278194
2009-11-30,720000,31900,99000,,289949
2009-12-31,799000,34100,121000,,300920
2010-01-31,784000,38350,113000,,271141
2010-02-28,744000,37100,115000,,283680
2010-03-31,818000,36550,115500,,282112
2010-04-30,849000,33850,137000,,290733
2010-05-31,776000,33000,140000,,272709
2010-06-30,774000,31600,144500,,287598
2010-07-31,810000,33200,149000,,288382
2010-08-31,756000,29150,141500,,307973
2010-09-30,777000,29400,153000,,307189
2010-10-31,745000,29600,170000,,312675
2010-11-30,826000,27700,172500,,307189
2010-12-31,949000,30200,173500,,355775
2011-01-31,981000,28400,179000,,313458
2011-02-28,923000,27600,178000,,297002
2011-03-31,932000,26900,203000,,300136
2011-04-30,893000,25600,246500,,333049
2011-05-31,902000,29850,252500,,300920
2011-06-30,826000,28350,237000,,296218
2011-07-31,844000,25650,235000,,329131
2011-08-31,744000,22550,203000,,325997
2011-09-30,840000,21050,211000,,355775
2011-10-31,968000,25100,227000,,365179
2011-11-30,1004000,25050,213000,,388688
2011-12-31,1058000,25550,213000,,330698
2012-01-31,1107000,27900,221000,,332266
2012-02-29,1206000,25100,216000,,365963
2012-03-31,1275000,22400,233000,,407496
2012-04-30,1390000,21700,268500,,401227
2012-05-31,1211000,22500,244000,,380068
2012-06-30,1201000,25650,232500,,391823
2012-07-31,1309000,25300,237000,,431005
2012-08-31,1233000,24600,240500,,406712
2012-09-30,1346000,27900,252000,,455298
2012-10-31,1310000,28300,224500,,395741
2012-11-30,1406000,26700,225500,,394957
2012-12-31,1522000,30450,218500,,355775
2013-01-31,1448000,32400,205000,,377717
2013-02-28,1544000,32650,218000,,412198
2013-03-31,1527000,30300,224000,,434140
2013-04-30,1520000,31650,199500,,463918
2013-05-31,1538000,26800,212500,,478024
2013-06-30,1342000,26500,225500,,455298
2013-07-31,1280000,28650,232500,,460000
2013-08-31,1368000,30700,249000,,446500
2013-09-30,1367000,30050,251000,,557000
2013-10-31,1465000,28350,253000,,597000
2013-11-30,1494000,32000,252000,,692000
2013-12-31,1372000,34750,236500,,724000
2014-01-31,1280000,35300,234500,,675000
2014-02-28,1349000,37000,245000,,817000
2014-03-31,1343000,36450,251000,,774000
2014-04-30,1343000,39500,230000,,738000
2014-05-31,1443000,39100,224500,,758000
2014-06-30,1322000,37300,229500,,835000
2014-07-31,1343000,42450,245500,,749000
2014-08-31,1234000,42200,233000,,768000
2014-09-30,1184000,48200,190500,,807000
2014-10-31,1244000,46450,170000,,754000
2014-11-30,1287000,46000,179000,,756000
2014-12-31,1327000,42700,169000,158000,712000
2015-01-31,1365000,43200,169500,136000,716000
2015-02-28,1357000,44700,160500,162000,661000
2015-03-31,1441000,46000,168500,149500,671000
2015-04-30,1410000,46850,169000,158500,650000
2015-05-31,1307000,46200,158000,192000,609000
2015-06-30,1268000,45800,136000,177500,634000
2015-07-31,1185000,50900,149000,167500,523000
2015-08-31,1089000,48000,149000,178000,495500
2015-09-30,1134000,49000,164000,146500,513000
2015-10-31,1372000,51400,156000,155000,600000
2015-11-30,1284000,48950,147500,146000,631000
2015-12-31,1260000,50000,149000,140000,658000
2016-01-31,1150000,52600,133000,149000,628000
2016-02-29,1178000,58700,147500,154500,572000
2016-03-31,1312000,60200,152500,143000,637000
2016-04-30,1245000,61800,143500,131000,677000
2016-05-31,1292000,62900,139500,120000,720000
2016-06-30,1425000,60400,135500,123000,710000
2016-07-31,1539000,61300,132000,135500,710000
2016-08-31,1620000,58000,133000,151500,845000
2016-09-19,1558000,57800,137000,144500,856000
